Schools,Students,Income,Property,Welfare,Salary,Instruct,Attend,Passing,,,,,
Norwalk,2650,21551,72266,12.2,37145,2384,94,50,,,,,
Ottawa Hills,933,45723,122356,0.2,43256,4150,95.7,95,,,,,
Anthony Wayne,3178,29215,88004,3.1,35617,2844,95.3,75,,,,,
Sylvania,7822,32114,101503,3.8,39684,2943,95.5,72,,,,,
Maumee,3009,27604,117921,3.9,41634,3933,95,69,,,,,
Oregon,3594,24525,123599,8.7,35848,2941,94.7,52,,,,,
Washington,7154,23507,102485,11.8,39155,2997,93.7,51,,,,,
Springfield,3575,26048,98346,12.2,34437,2774,93.8,49,,,,,
Toledo,36790,21079,62668,42.8,36190,2611,90.7,28,,,,,
Benton Carroll Salem,2063,23899,237206,4.7,42734,3444,95.6,81,,,,,
Danbury,635,21325,182360,3.2,34971,3158,95.3,65,,,,,
Genoa,1584,25321,53120,4.8,34661,2845,95.9,65,,,,,
Port Clinton,2238,20941,129961,10.5,39542,2926,94.5,50,,,,,
Put-in-Bay,70,19266,426419,1.4,30242,7824,94.5,33,,,,,
Paulding,1993,22677,46163,8.6,32928,2560,94.5,59,,,,,
Ottoville,610,24128,46582,0.2,26125,2588,99.8,86,,,,,
Columbus Grove,866,23562,55568,8.4,30476,2174,96.2,84,,,,,
Kalida,775,24456,44267,0.7,28962,2274,96.8,81,,,,,
Continental,792,23625,37277,10,28945,2225,95.5,79,,,,,
Ottawa-glandorf,1749,25363,64288,6.5,31185,2154,96.5,77,,,,,
Pandora-Gilboa,632,23806,55446,1.2,27693,2078,96.5,67,,,,,
Leipsic,748,20941,62648,16.1,30282,2811,93.9,47,,,,,
Gibsonburg,983,23312,46098,17.8,31244,2242,94.4,71,,,,,
Lakota,1332,22678,55933,10.5,30765,2306,95.2,66,,,,,
Fremont,5156,22327,74874,16.2,37759,2616,94.7,57,,,,,
Woodmore,1141,26460,90484,10.9,32296,2227,96.5,56,,,,,
Clyde-Green Springs,2368,23854,55724,7,33998,2383,94.6,47,,,,,
Bettsville,347,22103,37269,6.1,27466,2394,95.8,83,,,,,
Seneca East,1183,22656,50895,4.8,29940,2435,95.9,80,,,,,
Old Fort,540,23208,50712,19.3,28195,2743,96,78,,,,,
Hopewell-Loudon,870,22103,72201,4.7,30644,2564,94.6,74,,,,,
New Riegel,459,23314,41376,2.7,29099,2501,97,73,,,,,
Tiffin,3632,21246,65291,9,35513,2506,94.7,67,,,,,
Fostoria,2742,20809,62268,20.4,34241,2455,92.7,34,,,,,
Van Wert,2504,22728,67932,7.1,33885,2511,95.3,61,,,,,
Edon-Northwest,744,23035,38462,2.7,30833,1916,95.1,73,,,,,
Milcreek-West Unity,788,21302,40239,3.2,31582,2382,95.9,71,,,,,
Bryan,2266,22607,81152,4.2,32643,2706,95.2,69,,,,,
North Central,757,21871,59396,2.9,31978,2349,95.6,68,,,,,
Montpelier,1172,20787,44383,8.2,33243,2654,94.8,67,,,,,
Edgerton,767,22429,54040,4.1,28975,2470,95.9,61,,,,,
Stryker,579,24084,65532,3.4,33855,2617,95.7,47,,,,,
Perrysburg,3839,32773,97888,2.6,40320,3011,96.1,98,,,,,
Elmwood,1237,22179,47644,7.5,30434,2643,95.2,68,,,,,
Bowling Green,3534,21307,84682,7.5,37983,2849,94.7,68,,,,,
Otsego,1643,24614,57601,5,36065,2539,95.4,64,,,,,
Northwood,1091,25905,77077,7.9,35536,2979,94.9,61,,,,,
Eastwood,1739,25043,67929,4.7,35742,2499,95.9,60,,,,,
Lake,1665,23559,95859,6.2,38046,2820,95.2,55,,,,,
Rossford,2087,25360,123725,7.2,39476,3258,94.9,54,,,,,
North Baltimore,839,22075,58383,10.6,29579,2331,94.5,50,,,,,
Upper Sandusky,1801,21063,68348,3.9,32778,2267,95.6,62,,,,,
Carey,915,21658,51497,6,30968,2513,95.5,59,,,,,
